team_1,team_2,team_1_goals,team_2_goals,is_team_1_home,is_neutral,outcome,team_1_outcome,team_2_outcome,days,year,tournament.Friendly,tournament.African.Cup.of.Nations.Qualifiers,tournament.Euro.Qualifiers,tournament.Oceania.Nations.Cup,tournament.Copa.America,tournament.Confederations.Cup,tournament.Asian.Cup.Qualifiers,tournament.African.Cup.of.Nations,tournament.Gold.Cup,tournament.World.Cup.Qualifiers,tournament.Euro,tournament.Asian.Cup,tournament.World.Cup,team_1_index,team_2_index,team_1_rolling_2_outcome,team_1_rolling_2_goals,team_1_rolling_2_opponentgoals,team_2_rolling_2_outcome,team_2_rolling_2_goals,team_2_rolling_2_opponentgoals,diff_rolling_2_outcome,diff_rolling_2_goals,diff_rolling_2_opponentgoals,team_1_rolling_5_outcome,team_1_rolling_5_goals,team_1_rolling_5_opponentgoals,team_2_rolling_5_outcome,team_2_rolling_5_goals,team_2_rolling_5_opponentgoals,diff_rolling_5_outcome,diff_rolling_5_goals,diff_rolling_5_opponentgoals,team_1_rolling_10_outcome,team_1_rolling_10_goals,team_1_rolling_10_opponentgoals,team_2_rolling_10_outcome,team_2_rolling_10_goals,team_2_rolling_10_opponentgoals,diff_rolling_10_outcome,diff_rolling_10_goals,diff_rolling_10_opponentgoals,team_1_rolling_20_outcome,team_1_rolling_20_goals,team_1_rolling_20_opponentgoals,team_2_rolling_20_outcome,team_2_rolling_20_goals,team_2_rolling_20_opponentgoals,diff_rolling_20_outcome,diff_rolling_20_goals,diff_rolling_20_opponentgoals,team_1_rolling_50_outcome,team_1_rolling_50_goals,team_1_rolling_50_opponentgoals,team_2_rolling_50_outcome,team_2_rolling_50_goals,team_2_rolling_50_opponentgoals,diff_rolling_50_outcome,diff_rolling_50_goals,diff_rolling_50_opponentgoals
Kenya,Djibouti,3,0,1,0,win,1,-1,16,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,9,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Algeria,0,2,1,0,lose,-1,1,16,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,Malawi,2,1,1,0,win,1,-1,17,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,Guam,2,15,1,0,lose,-1,1,17,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Rwanda,5,0,1,0,win,1,-1,17,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Mozambique,0,0,1,0,draw,0,-0,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Tanzania,1,0,1,0,win,1,-1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Congo,1,1,1,0,draw,0,-0,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Gabon,0,2,1,0,lose,-1,1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,Mauritius,1,1,1,0,draw,0,-0,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Cape Verde,3,0,1,0,win,1,-1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,Liberia,2,1,1,0,win,1,-1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,7,30,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,Togo,0,4,0,1,lose,-1,1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,Madagascar,1,2,1,0,lose,-1,1,18,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,20,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,Northern Mariana Islands,0,3,0,1,lose,-1,1,19,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,8,223,2,17,3,0,0,0,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Niger,1,1,1,0,draw,0,-0,25,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,2,3,1,-2,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Georgia,1,0,1,0,win,1,-1,28,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Libya,3,0,1,0,win,1,-1,30,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Djibouti,9,1,1,0,win,1,-1,31,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,9,183,1,6,3,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,Namibia,0,1,1,0,lose,-1,1,31,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,-1,1,2,0,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,Botswana,2,1,1,0,win,1,-1,31,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Burundi,0,1,1,0,lose,-1,1,31,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Uzbekistan,4,1,1,0,win,1,-1,31,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,25,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Benin,2,0,1,0,win,1,-1,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,-1,1,2,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,Mali,0,0,1,0,draw,0,-0,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,27,18,-2,0,4,0,4,3,-2,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Chad,0,0,1,0,draw,0,-0,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Equatorial Guinea,3,0,1,0,win,1,-1,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Niger,2,0,1,0,win,1,-1,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,1,3,2,-1,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Moldova,1,1,1,0,draw,0,-0,32,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,31,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,Uganda,0,0,1,0,draw,0,-0,32,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,1,8,3,-1,-8,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,Lebanon,1,0,1,0,win,1,-1,34,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,33,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Israel,2,0,1,0,win,1,-1,34,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,34,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Sao Tome and Principe,2,0,1,0,win,1,-1,34,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,France,2,2,1,0,draw,0,-0,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,36,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia-Herzegovina,Faroe Islands,1,0,1,0,win,1,-1,35,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,37,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Albania,3,2,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,38,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Denmark,1,0,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,39,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Slovenia,2,1,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,40,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,Latvia,4,1,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,41,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Belarus,0,3,1,0,lose,-1,1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Romania,0,0,1,0,draw,0,-0,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,42,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,Mozambique,2,1,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,43,23,0,0,0,1,2,1,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Finland,0,0,1,0,draw,0,-0,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Russia,1,0,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Georgia,4,0,1,0,win,1,-1,35,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Moldova,0,1,1,0,lose,-1,1,36,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,46,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Togo,1,1,1,0,draw,0,-0,39,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,2,6,0,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,Lesotho,3,1,1,0,win,1,-1,39,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,47,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Ivory Coast,1,1,1,0,draw,0,-0,46,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,5,111,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Senegal,1,1,1,0,draw,0,-0,47,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,2,2,4,1,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Germany,1,2,1,0,lose,-1,1,49,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Senegal,2,0,1,0,win,1,-1,49,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,0,1,4,2,-1,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Liechtenstein,7,0,1,0,win,1,-1,49,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Switzerland,1,1,0,0,draw,0,-0,49,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,51,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,Andorra,3,1,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,33,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Israel,1,1,1,0,draw,0,-0,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,36,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Denmark,0,0,1,0,draw,0,-0,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,52,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia-Herzegovina,Estonia,1,1,1,0,draw,0,-0,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Spain,3,2,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Moldova,3,2,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,53,98,0,0,0,1,2,1,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Albania,1,0,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,54,106,-2,0,5,0,0,0,-2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Romania,1,1,0,1,draw,0,-0,52,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,55,50,0,0,0,1,7,0,-1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,France,1,1,1,0,draw,0,-0,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,41,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Croatia,2,0,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,56,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Scotland,0,0,1,0,draw,0,-0,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,31,92,-1,1,4,0,0,0,-1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Azerbaijan,3,0,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,England,2,1,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,45,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Northern Ireland,3,0,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,57,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Russia,3,2,1,0,win,1,-1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,90,0,5,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,Italy,0,2,0,1,lose,-1,1,52,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,58,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
